id_region,id_batiment,date_rapport,emission_CO2_kg,taux_recyclage
REG01,BAT001,2024-07-31,213.63,0.59
REG07,BAT002,2024-07-31,3136.69,0.79
REG03,BAT003,2024-07-31,322.11,0.51
REG01,BAT004,2024-07-31,2032.89,0.79
REG06,BAT005,2024-07-31,4381.3,0.61
REG07,BAT006,2024-07-31,1437.13,0.53
REG02,  BAT007  ,2024-07-31,882.88,0.48
REG04,BAT008,2024-07-31,223.57,0.81
REG02,BAT009,2024-07-31,2680.15,0.5
REG08,BAT010,2024-07-31,3175.67,0.85
REG07,BAT011,2024-07-31,1078.48,0.81
REG03,BAT012,31/07/2024,1304.32,0.82
REG05,BAT013,2024-07-31,4176.25,0.68
REG05,  BAT014  ,2024-07-31,5010.41,0.5
REG02,BAT015,2024-07-31,2565.69,0.49
REG01,BAT016,2024-07-31,6502.77,0.74
REG02,BAT017,2024-07-31,3155.87,0.59
REG03,BAT018,2024-07-31,4204.68,0.53
REG06,BAT019,2024-07-31,658.81,0.76
REG04,BAT020,2024-07-31,2449.39,0.59
REG02,BAT021,31/07/2024,1076.86,0.78
REG04,BAT022,2024-07-31,374.74,0.65
REG01,BAT023,2024-07-31,786.88,0.57
REG04,BAT024,2024-07-31,1006.89,0.63
REG02,BAT025,2024-07-31,89.8,0.58
REG08,BAT026,2024-07-31,230.78,0.51
REG08,BAT027,2024-07-31,2475.54,0.76
REG01,BAT028,2024-07-31,565.87,0.73
REG03,BAT029,2024-07-31,636.02,0.61
REG04,BAT030,2024-07-31,3841.07,0.77
REG06,BAT031,2024-07-31,1624.73,0.59
REG02,BAT032,2024-07-31,1003.64,0.64
REG06,BAT033,2024-07-31,1233.36,0.63
REG02,BAT034,2024-07-31,2947.21,0.6
REG06,BAT035,2024-07-31,3023.11,0.82
REG07,BAT036,2024-07-31,,0.46
REG07,BAT037,2024-07-31,3577.89,0.82
REG03,BAT038,2024-07-31,1494.78,0.68
REG04,BAT039,2024-07-31,2331.32,0.55
REG04,BAT040,2024-07-31,2301.13,0.6
REG07,  BAT041  ,2024-07-31,640.84,0.81
REG04,BAT042,2024-07-31,1299.59,0.85
REG07,BAT043,2024-07-31,7140.49,0.51
REG06,BAT044,2024-07-31,1171.93,0.68
REG06,BAT045,2024-07-31,2301.33,0.53
REG01,BAT046,2024-07-31,3158.68,0.62
REG06,BAT047,2024-07-31,4606.54,0.82
REG06,BAT048,2024-07-31,637.22,0.76
REG05,BAT049,31/07/2024,947.49,0.56
REG06,BAT050,2024-07-31,1662.07,0.84
