id_region,id_batiment,date_rapport,emission_CO2_kg,taux_recyclage
REG01,BAT001,2024-06-30,219.46,0.51
REG07,BAT002,2024-06-30,4055.31,0.61
REG03,BAT003,2024-06-30,297.41,0.69
REG01,BAT004,2024-06-30,2114.89,0.67
REG06,BAT005,2024-06-30,4054.1,0.76
REG07,BAT006,2024-06-30,1230.99,0.62
REG02,BAT007,2024-06-30,867.34,0.83
REG04,BAT008,2024-06-30,224.9,0.54
REG02,BAT009,2024-06-30,3126.86,0.66
REG08,BAT010,30/06/2024,3591.27,0.67
REG07,BAT011,2024-06-30,1357.71,0.5
REG03,BAT012,2024-06-30,2337.71,0.65
REG05,BAT013,2024-06-30,5200.41,0.71
REG05,BAT014,2024-06-30,3604.95,0.54
REG02,BAT015,2024-06-30,2145.16,0.54
REG01,BAT016,2024-06-30,6788.89,0.46
REG02,BAT017,2024-06-30,4072.51,0.79
REG03,BAT018,2024-06-30,3969.24,0.74
REG06,BAT019,2024-06-30,746.74,0.65
REG04,BAT020,2024-06-30,1971.26,0.74
REG02,BAT021,30/06/2024,952.86,0.5
REG04,BAT022,2024-06-30,475.69,0.76
REG01,BAT023,2024-06-30,573.09,0.65
REG04,BAT024,2024-06-30,1429.13,0.7
REG02,  BAT025  ,2024-06-30,116.7,0.6
REG08,BAT026,2024-06-30,337.49,0.6
REG08,BAT027,2024-06-30,2382.87,0.78
REG01,BAT028,2024-06-30,954.99,0.47
REG03,BAT029,2024-06-30,452.43,0.79
REG04,BAT030,2024-06-30,3124.65,0.54
REG06,BAT031,2024-06-30,1887.8,0.66
REG02,BAT032,2024-06-30,1232.26,0.63
REG06,BAT033,2024-06-30,1256.73,0.85
REG02,BAT034,2024-06-30,2570.21,0.76
REG06,BAT035,2024-06-30,4255.13,0.51
REG07,BAT036,2024-06-30,1117.31,0.47
REG07,BAT037,2024-06-30,3454.59,0.82
REG03,BAT038,2024-06-30,1710.8,0.63
REG04,BAT039,2024-06-30,-3432.34,0.56
REG04,BAT040,2024-06-30,1546.95,0.84
REG07,BAT041,2024-06-30,801.6,1.69
REG04,BAT042,2024-06-30,855.63,0.61
REG07,BAT043,2024-06-30,4139.42,0.53
REG06,BAT044,2024-06-30,1489.8,0.58
REG06,BAT045,2024-06-30,2357.27,0.79
REG01,BAT046,2024-06-30,2966.44,0.54
REG06,BAT047,2024-06-30,3397.02,0.63
REG06,BAT048,2024-06-30,686.42,0.72
REG05,BAT049,2024-06-30,793.57,0.7
REG06,  BAT050  ,2024-06-30,1456.45,0.82
