id_region,id_batiment,date_rapport,emission_CO2_kg,taux_recyclage
REG01,BAT001,2024-12-31,370.89,0.81
REG07,BAT002,2024-12-31,5260.81,0.52
REG03,BAT003,2024-12-31,341.22,0.73
REG01,BAT004,2024-12-31,2914.52,0.71
REG06,BAT005,2024-12-31,7095.02,1.96
REG07,BAT006,2024-12-31,2320.97,0.5
REG02,BAT007,2024-12-31,1071.26,0.82
REG04,BAT008,2024-12-31,313.42,0.84
REG02,BAT009,2024-12-31,4228.92,0.59
REG08,BAT010,2024-12-31,5767.19,0.55
REG07,BAT011,2024-12-31,1981.97,0.49
REG03,BAT012,2024-12-31,2710.36,0.74
REG05,BAT013,2024-12-31,6834.23,0.55
REG05,BAT014,2024-12-31,7969.53,0.79
REG02,BAT015,2024-12-31,3204.23,0.46
REG01,BAT016,2024-12-31,9550.45,0.48
REG02,BAT017,2024-12-31,6510.26,0.48
REG03,BAT018,2024-12-31,4208.1,0.52
REG06,  BAT019  ,2024-12-31,831.74,0.81
REG04,BAT020,2024-12-31,3515.43,0.45
REG02,BAT021,2024-12-31,1400.56,0.65
REG04,BAT022,2024-12-31,661.17,0.73
REG01,BAT023,2024-12-31,1000.87,0.52
REG04,BAT024,2024-12-31,1553.22,0.61
REG02,BAT025,2024-12-31,165.99,0.69
REG08,BAT026,2024-12-31,406.07,0.56
REG08,BAT027,2024-12-31,5747.89,0.58
REG01,BAT028,2024-12-31,1150.37,1.68
REG03,BAT029,2024-12-31,926.13,0.71
REG04,BAT030,2024-12-31,3882.85,0.56
REG06,BAT031,2024-12-31,3236.5,0.59
REG02,BAT032,2024-12-31,1412.6,0.66
REG06,BAT033,2024-12-31,3352.49,0.48
REG02,BAT034,2024-12-31,4106.23,0.79
REG06,BAT035,2024-12-31,5442.97,0.6
REG07,BAT036,2024-12-31,1560.88,0.79
REG07,BAT037,2024-12-31,7240.36,0.54
REG03,BAT038,2024-12-31,3189.05,0.46
REG04,BAT039,2024-12-31,3486.76,0.67
REG04,BAT040,2024-12-31,2837.09,0.5
REG07,BAT041,2024-12-31,1191.05,0.7
REG04,BAT042,2024-12-31,2469.21,0.62
REG07,BAT043,2024-12-31,5774.3,0.68
REG06,  BAT044  ,2024-12-31,1883.02,0.8
REG06,BAT045,2024-12-31,3022.32,0.73
REG01,BAT046,2024-12-31,5039.26,0.84
REG06,  BAT047  ,2024-12-31,8719.28,0.69
REG06,BAT048,2024-12-31,1175.72,0.62
REG05,BAT049,2024-12-31,1318.36,0.66
REG06,BAT050,2024-12-31,3467.94,0.48
