id_region,id_batiment,date_rapport,emission_CO2_kg,taux_recyclage
REG01,BAT001,2024-08-31,211.32,0.55
REG07,BAT002,2024-08-31,3096.2,0.66
REG03,BAT003,2024-08-31,307.09,0.5
REG01,BAT004,2024-08-31,2395.89,0.78
REG06,BAT005,2024-08-31,4015.6,0.73
REG07,BAT006,2024-08-31,1081.63,0.75
REG02,BAT007,2024-08-31,981.26,0.64
REG04,BAT008,2024-08-31,196.97,0.56
REG02,BAT009,2024-08-31,3598.66,0.75
REG08,  BAT010  ,2024-08-31,3082.21,0.76
REG07,BAT011,2024-08-31,,0.76
REG03,BAT012,2024-08-31,2162.77,0.5
REG05,BAT013,2024-08-31,6216.99,0.56
REG05,BAT014,2024-08-31,5895.06,0.6
REG02,BAT015,2024-08-31,2100.96,0.85
REG01,BAT016,2024-08-31,8544.17,0.63
REG02,BAT017,2024-08-31,3336.03,0.78
REG03,BAT018,2024-08-31,4359.72,0.84
REG06,BAT019,2024-08-31,587.39,0.76
REG04,BAT020,2024-08-31,2928.18,0.81
REG02,BAT021,2024-08-31,966.07,0.72
REG04,BAT022,2024-08-31,416.76,0.8
REG01,BAT023,2024-08-31,523.55,0.64
REG04,BAT024,2024-08-31,1188.21,0.66
REG02,BAT025,2024-08-31,88.53,0.6
REG08,BAT026,2024-08-31,242.09,0.7
REG08,BAT027,2024-08-31,2962.1,0.62
REG01,BAT028,2024-08-31,725.04,0.46
REG03,BAT029,2024-08-31,628.76,0.45
REG04,BAT030,2024-08-31,2444.63,0.83
REG06,BAT031,2024-08-31,1969.91,0.58
REG02,BAT032,2024-08-31,1422.29,0.58
REG06,BAT033,2024-08-31,1952.78,0.72
REG02,BAT034,2024-08-31,2441.24,0.5
REG06,BAT035,2024-08-31,4730.89,0.73
REG07,BAT036,2024-08-31,1120.7,0.49
REG07,BAT037,2024-08-31,5163.77,0.53
REG03,BAT038,2024-08-31,1876.17,0.69
REG04,BAT039,2024-08-31,2542.16,0.76
REG04,BAT040,2024-08-31,2565.38,0.55
REG07,BAT041,2024-08-31,563.28,0.69
REG04,BAT042,2024-08-31,1108.01,0.55
REG07,BAT043,2024-08-31,5165.31,0.83
REG06,BAT044,2024-08-31,1658.36,0.57
REG06,BAT045,2024-08-31,2807.13,0.46
REG01,BAT046,31/08/2024,2559.09,0.63
REG06,BAT047,2024-08-31,4580.49,0.83
REG06,BAT048,2024-08-31,540.79,0.62
REG05,BAT049,2024-08-31,780.66,0.75
REG06,BAT050,2024-08-31,2097.67,0.48
