id_region,id_batiment,date_rapport,emission_CO2_kg,taux_recyclage
REG01,BAT001,2024-02-29,371.92,0.48
REG07,BAT002,2024-02-29,4557.81,0.48
REG03,BAT003,2024-02-29,455.49,0.46
REG01,BAT004,2024-02-29,3032.57,0.55
REG06,BAT005,2024-02-29,8370.96,0.49
REG07,BAT006,2024-02-29,1650.31,0.75
REG02,BAT007,2024-02-29,1181.47,0.76
REG04,BAT008,2024-02-29,314.19,0.79
REG02,BAT009,2024-02-29,3891.08,0.58
REG08,BAT010,2024-02-29,6051.78,0.6
REG07,BAT011,2024-02-29,1973.14,0.73
REG03,BAT012,2024-02-29,2716.6,0.53
REG05,BAT013,2024-02-29,7580.97,0.73
REG05,BAT014,2024-02-29,6996.79,0.46
REG02,BAT015,2024-02-29,2884.26,0.65
REG01,BAT016,2024-02-29,10586.01,0.74
REG02,BAT017,2024-02-29,5720.85,0.77
REG03,BAT018,2024-02-29,5122.9,0.52
REG06,BAT019,2024-02-29,1185.53,0.75
REG04,BAT020,2024-02-29,4150.21,0.49
REG02,BAT021,2024-02-29,1176.08,0.81
REG04,BAT022,2024-02-29,603.09,0.64
REG01,BAT023,2024-02-29,878.99,0.68
REG04,BAT024,2024-02-29,1669.26,0.5
REG02,BAT025,2024-02-29,166.83,0.83
REG08,BAT026,2024-02-29,311.3,0.54
REG08,BAT027,2024-02-29,4246.35,0.74
REG01,BAT028,29/02/2024,1257.88,0.53
REG03,BAT029,2024-02-29,950.41,0.49
REG04,BAT030,2024-02-29,4194.49,0.52
REG06,BAT031,2024-02-29,2905.66,0.66
REG02,BAT032,2024-02-29,1726.19,0.75
REG06,BAT033,2024-02-29,2996.88,0.68
REG02,BAT034,2024-02-29,5035.15,0.54
REG06,BAT035,2024-02-29,6373.25,0.52
REG07,BAT036,2024-02-29,1219.28,0.76
REG07,BAT037,2024-02-29,4330.12,0.45
REG03,BAT038,2024-02-29,3019.52,0.83
REG04,BAT039,2024-02-29,5107.69,0.79
REG04,BAT040,2024-02-29,3144.44,0.8
REG07,BAT041,2024-02-29,854.39,0.48
REG04,BAT042,2024-02-29,1656.24,0.73
REG07,BAT043,2024-02-29,7421.38,0.77
REG06,BAT044,2024-02-29,2045.4,0.75
REG06,BAT045,2024-02-29,3412.19,0.84
REG01,BAT046,2024-02-29,4693.34,1.85
REG06,BAT047,2024-02-29,8891.26,0.69
REG06,BAT048,2024-02-29,805.4,0.58
REG05,BAT049,2024-02-29,1543.3,0.66
REG06,BAT050,2024-02-29,2705.6,0.75
