id_region,id_batiment,date_rapport,emission_CO2_kg,taux_recyclage
REG01,BAT001,2024-10-31,244.36,0.72
REG05,BAT002,2024-10-31,2702.05,0.57
REG06,BAT003,2024-10-31,6079.38,0.57
REG07,BAT004,2024-10-31,5255.88,0.83
REG01,BAT005,2024-10-31,354.73,0.78
REG06,BAT006,2024-10-31,624.33,1.72
REG04,BAT007,2024-10-31,3385.56,0.82
REG01,BAT008,2024-10-31,5769.39,0.51
REG08,BAT009,2024-10-31,3797.31,0.65
REG07,BAT010,2024-10-31,1233.35,0.63
REG03,  BAT011  ,2024-10-31,,0.69
REG01,BAT012,2024-10-31,3379.13,0.63
REG03,BAT013,2024-10-31,2541.55,0.72
REG05,BAT014,2024-10-31,1750.58,0.52
REG06,BAT015,2024-10-31,846.07,0.67
REG03,BAT016,2024-10-31,430.51,0.58
REG04,BAT017,2024-10-31,1684.68,0.5
REG04,BAT018,2024-10-31,676.86,0.62
REG01,BAT019,2024-10-31,1694.4,0.59
REG03,BAT020,2024-10-31,1314.75,0.66
REG07,BAT021,2024-10-31,1198.54,0.57
REG02,BAT022,2024-10-31,665.08,0.81
REG02,BAT023,2024-10-31,239.27,0.79
REG08,BAT024,2024-10-31,207.7,0.45
REG08,BAT025,2024-10-31,3341.88,0.71
REG01,BAT026,2024-10-31,737.17,0.47
REG03,BAT027,31/10/2024,451.04,0.65
REG04,BAT028,2024-10-31,2706.59,0.8
REG06,BAT029,2024-10-31,1641.82,0.67
REG02,BAT030,2024-10-31,916.43,0.66
REG03,BAT031,2024-10-31,1649.87,0.76
REG02,BAT032,2024-10-31,2633.96,0.47
REG06,BAT033,2024-10-31,2860.11,0.72
REG05,  BAT034  ,2024-10-31,565.49,0.66
REG02,BAT035,2024-10-31,410.45,0.66
REG07,BAT036,2024-10-31,2511.21,0.7
REG02,  BAT037  ,2024-10-31,1433.44,0.5
REG03,BAT038,2024-10-31,1869.03,0.82
REG02,BAT039,2024-10-31,661.19,0.71
REG04,BAT040,2024-10-31,6403.12,0.82
REG06,BAT041,2024-10-31,1227.56,0.81
REG06,BAT042,2024-10-31,2850.05,0.81
REG01,BAT043,2024-10-31,2672.75,0.46
REG06,BAT044,2024-10-31,5006.18,0.6
REG06,BAT045,2024-10-31,853.28,0.84
REG07,BAT046,2024-10-31,1967.83,0.53
REG04,BAT047,2024-10-31,2945.97,0.77
REG06,BAT048,2024-10-31,1954.38,0.55
REG04,BAT049,2024-10-31,1893.76,0.46
REG03,  BAT050  ,2024-10-31,1965.34,0.47
