id_region,id_batiment,date_rapport,emission_CO2_kg,taux_recyclage
REG01,BAT001,2024-07-31,182.24,0.59
REG05,BAT002,2024-07-31,2748.08,0.64
REG06,BAT003,2024-07-31,4421.8,0.63
REG07,BAT004,2024-07-31,4458.97,0.6
REG01,BAT005,2024-07-31,355.49,0.82
REG06,BAT006,2024-07-31,,0.46
REG04,BAT007,2024-07-31,3289.16,0.82
REG01,BAT008,2024-07-31,5116.08,0.68
REG08,BAT009,2024-07-31,3402.42,0.55
REG07,BAT010,2024-07-31,1366.79,0.6
REG03,  BAT011  ,2024-07-31,1180.06,0.81
REG01,BAT012,2024-07-31,3935.47,0.85
REG03,BAT013,2024-07-31,2627.58,0.51
REG05,BAT014,2024-07-31,1248.05,0.68
REG06,BAT015,2024-07-31,622.04,0.53
REG03,BAT016,2024-07-31,599.77,0.62
REG04,BAT017,2024-07-31,1857.67,0.82
REG04,BAT018,2024-07-31,931.22,0.76
REG01,BAT019,31/07/2024,1344.72,0.56
REG03,BAT020,2024-07-31,1235.83,0.84
REG07,BAT021,2024-07-31,1586.59,0.55
REG02,BAT022,2024-07-31,598.37,0.66
REG02,BAT023,2024-07-31,319.55,0.5
REG08,BAT024,2024-07-31,310.9,0.78
REG08,BAT025,2024-07-31,2641.89,0.73
REG01,BAT026,2024-07-31,636.62,0.75
REG03,BAT027,2024-07-31,580.51,0.64
REG04,BAT028,2024-07-31,2964.98,0.56
REG06,BAT029,2024-07-31,2601.85,0.75
REG02,  BAT030  ,2024-07-31,863.54,0.76
REG03,BAT031,2024-07-31,,0.76
REG02,BAT032,2024-07-31,3329.13,0.5
REG06,BAT033,2024-07-31,4444.49,0.56
REG05,BAT034,2024-07-31,678.98,0.6
REG02,BAT035,2024-07-31,359.56,0.85
REG07,BAT036,2024-07-31,2859.85,0.63
REG02,BAT037,2024-07-31,1452.61,0.78
REG03,BAT038,2024-07-31,1947.54,0.84
REG02,BAT039,2024-07-31,712.54,0.76
REG04,BAT040,2024-07-31,7117.81,0.81
REG06,BAT041,2024-07-31,1489.55,0.72
REG06,BAT042,2024-07-31,2423.05,0.8
REG01,BAT043,2024-07-31,2572.28,0.64
REG06,BAT044,2024-07-31,5153.35,0.66
REG06,BAT045,2024-07-31,542.52,0.6
REG07,BAT046,2024-07-31,1431.18,0.7
REG04,BAT047,2024-07-31,2985.77,0.62
REG06,BAT048,2024-07-31,2455.36,0.46
REG04,BAT049,2024-07-31,2330.28,0.45
REG03,BAT050,2024-07-31,1607.32,0.83
