id_region,id_batiment,date_rapport,emission_CO2_kg,taux_recyclage
REG01,BAT001,2024-11-30,260.66,0.52
REG05,BAT002,2024-11-30,4470.4,0.67
REG06,BAT003,2024-11-30,9045.95,0.64
REG07,  BAT004  ,2024-11-30,5525.84,0.67
REG01,BAT005,2024-11-30,670.47,0.66
REG06,BAT006,2024-11-30,988.94,0.68
REG04,BAT007,2024-11-30,4933.22,0.6
REG01,BAT008,2024-11-30,8449.94,0.85
REG08,BAT009,2024-11-30,6939.41,0.62
REG07,BAT010,2024-11-30,,0.73
REG03,BAT011,2024-11-30,1922.07,0.53
REG01,BAT012,2024-11-30,4734.51,0.73
REG03,BAT013,2024-11-30,2385.57,0.68
REG05,BAT014,2024-11-30,2384.2,0.48
REG06,BAT015,2024-11-30,959.19,0.56
REG03,BAT016,2024-11-30,858.12,0.74
REG04,BAT017,2024-11-30,2981.13,0.72
REG04,BAT018,2024-11-30,1468.15,0.8
REG01,BAT019,2024-11-30,1907.89,0.57
REG03,BAT020,2024-11-30,2395.16,0.75
REG07,BAT021,2024-11-30,2784.67,0.81
REG02,BAT022,2024-11-30,1016.7,0.52
REG02,BAT023,2024-11-30,355.07,0.73
REG08,BAT024,2024-11-30,378.21,0.71
REG08,BAT025,2024-11-30,4667.86,1.96
REG01,BAT026,2024-11-30,1366.06,0.5
REG03,BAT027,2024-11-30,633.76,0.82
REG04,BAT028,2024-11-30,4718.0,0.84
REG06,BAT029,2024-11-30,3057.53,0.59
REG02,BAT030,2024-11-30,1615.79,0.55
REG03,BAT031,2024-11-30,2354.13,0.49
REG02,BAT032,2024-11-30,4172.02,0.74
REG06,BAT033,2024-11-30,4885.75,0.55
REG05,BAT034,2024-11-30,917.91,0.79
REG02,BAT035,2024-11-30,548.38,0.46
REG07,BAT036,2024-11-30,3196.66,0.48
REG02,BAT037,2024-11-30,2834.77,0.48
REG03,BAT038,2024-11-30,1879.81,0.52
REG02,  BAT039  ,2024-11-30,1008.95,0.81
REG04,BAT040,2024-11-30,8545.31,0.45
REG06,BAT041,2024-11-30,2159.47,0.65
REG06,BAT042,2024-11-30,3844.02,0.73
REG01,BAT043,2024-11-30,4917.46,0.52
REG06,BAT044,2024-11-30,6736.46,0.61
REG06,BAT045,2024-11-30,1017.23,0.69
REG07,BAT046,2024-11-30,2400.6,0.56
REG04,BAT047,2024-11-30,5793.82,0.58
REG06,BAT048,2024-11-30,3895.74,1.68
REG04,BAT049,2024-11-30,3432.38,0.71
REG03,BAT050,2024-11-30,2552.93,0.56
