id_region,id_batiment,date_rapport,emission_CO2_kg,taux_recyclage
REG01,BAT001,2024-04-30,195.17,0.5
REG05,BAT002,2024-04-30,3051.19,0.82
REG06,BAT003,2024-04-30,5851.77,0.74
REG07,BAT004,2024-04-30,5124.22,0.53
REG01,BAT005,2024-04-30,431.73,0.7
REG06,BAT006,2024-04-30,520.64,0.75
REG04,BAT007,2024-04-30,3437.11,0.7
REG01,BAT008,2024-04-30,5529.35,0.72
REG08,BAT009,2024-04-30,3400.51,0.46
REG07,BAT010,2024-04-30,,0.67
REG03,BAT011,2024-04-30,1488.65,0.6
REG01,BAT012,2024-04-30,3997.37,0.81
REG03,BAT013,2024-04-30,1663.49,0.46
REG05,BAT014,2024-04-30,1551.89,0.71
REG06,BAT015,2024-04-30,585.57,0.48
REG03,BAT016,2024-04-30,619.67,0.75
REG04,BAT017,2024-04-30,2560.96,0.68
REG04,BAT018,2024-04-30,1023.44,0.56
REG01,BAT019,2024-04-30,1282.35,0.82
REG03,BAT020,2024-04-30,1202.16,0.55
REG07,BAT021,2024-04-30,1913.38,0.57
REG02,BAT022,2024-04-30,695.18,0.84
REG02,BAT023,2024-04-30,198.21,0.77
REG08,BAT024,2024-04-30,276.01,0.7
REG08,BAT025,2024-04-30,3264.48,0.8
REG01,BAT026,2024-04-30,998.99,0.64
REG03,BAT027,2024-04-30,545.07,0.61
REG04,BAT028,2024-04-30,3988.84,0.76
REG06,BAT029,2024-04-30,1631.58,0.81
REG02,BAT030,2024-04-30,1203.11,0.48
REG03,BAT031,2024-04-30,,0.61
REG02,BAT032,2024-04-30,2890.57,0.59
REG06,BAT033,2024-04-30,3657.15,0.47
REG05,BAT034,2024-04-30,587.7,0.74
REG02,BAT035,2024-04-30,395.84,0.81
REG07,BAT036,2024-04-30,2042.81,0.74
REG02,BAT037,2024-04-30,1346.62,0.77
REG03,BAT038,2024-04-30,1397.08,0.77
REG02,BAT039,2024-04-30,659.6,0.5
REG04,BAT040,2024-04-30,4893.4,0.74
REG06,BAT041,2024-04-30,1604.28,0.54
REG06,BAT042,2024-04-30,2057.24,0.52
REG01,BAT043,2024-04-30,3419.14,0.8
REG06,BAT044,2024-04-30,6468.11,0.61
REG06,BAT045,2024-04-30,767.9,0.52
REG07,BAT046,2024-04-30,1675.87,0.64
REG04,BAT047,2024-04-30,3149.21,0.57
REG06,BAT048,2024-04-30,2221.82,0.51
REG04,BAT049,2024-04-30,1971.11,0.81
REG03,BAT050,2024-04-30,2054.39,0.85
