id_region,id_batiment,date_rapport,emission_CO2_kg,taux_recyclage
REG01,BAT001,2024-01-31,426.09,0.8
REG05,BAT002,2024-01-31,4220.57,0.81
REG06,BAT003,2024-01-31,11614.62,0.47
REG07,BAT004,2024-01-31,5167.33,0.65
REG01,BAT005,2024-01-31,763.58,0.67
REG06,BAT006,2024-01-31,1137.17,0.79
REG04,BAT007,2024-01-31,5830.5,0.54
REG01,BAT008,2024-01-31,12193.01,0.6
REG08,BAT009,2024-01-31,5186.93,0.53
REG07,BAT010,2024-01-31,1603.48,0.7
REG03,BAT011,2024-01-31,1791.5,0.72
REG01,BAT012,2024-01-31,5619.6,0.49
REG03,BAT013,2024-01-31,3177.25,0.7
REG05,BAT014,2024-01-31,2799.86,0.64
REG06,  BAT015  ,2024-01-31,879.89,0.62
REG03,BAT016,2024-01-31,833.79,0.61
REG04,BAT017,2024-01-31,2299.45,0.48
REG04,BAT018,31/01/2024,1143.91,0.49
REG01,BAT019,2024-01-31,2358.08,0.54
REG03,BAT020,2024-01-31,2387.93,0.57
REG07,BAT021,2024-01-31,2413.5,0.68
REG02,BAT022,2024-01-31,997.81,0.75
REG02,BAT023,2024-01-31,380.68,0.64
REG08,BAT024,2024-01-31,343.8,0.54
REG08,  BAT025  ,2024-01-31,4238.06,0.67
REG01,BAT026,2024-01-31,1162.24,0.76
REG03,BAT027,2024-01-31,833.27,0.84
REG04,BAT028,2024-01-31,5228.41,0.61
REG06,BAT029,2024-01-31,2425.27,0.61
REG02,BAT030,2024-01-31,1731.55,0.46
REG03,BAT031,2024-01-31,1882.26,0.64
REG02,BAT032,2024-01-31,3819.96,0.57
REG06,BAT033,2024-01-31,4926.31,0.55
REG05,BAT034,2024-01-31,868.5,0.62
REG02,BAT035,2024-01-31,641.87,0.77
REG07,BAT036,2024-01-31,3314.92,0.67
REG02,BAT037,2024-01-31,2999.65,0.82
REG03,BAT038,2024-01-31,2322.6,0.8
REG02,BAT039,2024-01-31,1300.25,0.59
REG04,BAT040,2024-01-31,6449.47,0.77
REG06,BAT041,2024-01-31,2470.1,0.53
REG06,BAT042,2024-01-31,3820.58,0.63
REG01,BAT043,2024-01-31,4131.14,0.58
REG06,BAT044,2024-01-31,7026.96,0.78
REG06,  BAT045  ,2024-01-31,1022.44,0.78
REG07,BAT046,2024-01-31,2627.61,0.67
REG04,BAT047,2024-01-31,5423.46,0.46
REG06,BAT048,2024-01-31,,0.71
REG04,BAT049,2024-01-31,2873.19,0.5
REG03,BAT050,2024-01-31,2829.93,0.57
