id_region,id_batiment,date_rapport,emission_CO2_kg,taux_recyclage
REG01,BAT001,2024-03-31,323.85,0.72
REG05,BAT002,2024-03-31,4973.85,0.75
REG06,BAT003,2024-03-31,7345.22,0.57
REG07,BAT004,2024-03-31,4907.36,0.58
REG01,BAT005,2024-03-31,680.47,0.74
REG06,BAT006,2024-03-31,1095.27,0.66
REG04,BAT007,2024-03-31,4891.44,0.74
REG01,BAT008,2024-03-31,9090.26,0.79
REG08,BAT009,2024-03-31,6076.48,0.85
REG07,BAT010,2024-03-31,1975.01,0.7
REG03,BAT011,2024-03-31,2568.36,0.65
REG01,  BAT012  ,2024-03-31,6564.73,0.76
REG03,BAT013,2024-03-31,2501.73,0.72
REG05,BAT014,2024-03-31,2627.99,1.51
REG06,BAT015,2024-03-31,724.25,0.8
REG03,BAT016,2024-03-31,919.04,0.71
REG04,BAT017,2024-03-31,,0.77
REG04,BAT018,2024-03-31,1398.94,0.74
REG01,BAT019,2024-03-31,2549.59,0.64
REG03,BAT020,2024-03-31,2116.74,0.76
REG07,BAT021,2024-03-31,2292.78,0.45
REG02,BAT022,2024-03-31,1036.85,0.84
REG02,BAT023,2024-03-31,540.82,0.79
REG08,BAT024,2024-03-31,408.27,0.48
REG08,BAT025,2024-03-31,5913.64,0.48
REG01,BAT026,2024-03-31,1338.56,0.73
REG03,BAT027,2024-03-31,888.61,0.56
REG04,BAT028,2024-03-31,4903.27,0.61
REG06,BAT029,2024-03-31,3347.75,0.78
REG02,BAT030,2024-03-31,1642.62,0.52
REG03,BAT031,2024-03-31,1799.13,0.58
REG02,BAT032,2024-03-31,3777.15,0.57
REG06,BAT033,2024-03-31,4882.18,0.67
REG05,BAT034,2024-03-31,1029.2,0.7
REG02,BAT035,2024-03-31,609.86,0.61
REG07,BAT036,2024-03-31,3008.57,0.6
REG02,BAT037,2024-03-31,3156.81,0.82
REG03,BAT038,2024-03-31,2637.09,0.5
REG02,BAT039,2024-03-31,1198.3,0.81
REG04,BAT040,2024-03-31,9782.75,0.57
REG06,BAT041,2024-03-31,,0.62
REG06,BAT042,2024-03-31,4591.38,0.59
REG01,BAT043,2024-03-31,3951.59,0.66
REG06,BAT044,2024-03-31,7398.38,0.58
REG06,BAT045,2024-03-31,860.5,0.45
REG07,BAT046,2024-03-31,2123.68,0.56
REG04,BAT047,2024-03-31,5239.95,0.7
REG06,BAT048,2024-03-31,3284.35,0.73
REG04,BAT049,2024-03-31,3478.31,0.83
REG03,BAT050,2024-03-31,2795.68,0.52
